Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD A8 PRO-7600B APU,65.0,,,,,,,2014-09-01,
AMD A8-3500M APU,35.0,,,,,,,2011-07-01,
AMD A8-3510MX APU,45.0,,,,,,,2011-08-01,
AMD A8-3520M APU,35.0,,,,,,,2012-01-01,
AMD A8-3530MX APU,45.0,,,,,,,2011-07-01,
AMD A8-3550MX APU,45.0,,,,,,,2012-03-01,
AMD A8-3800 APU,65.0,,,,,,,2011-09-01,
AMD A8-3820 APU,65.0,,,,,,,2012-01-01,
AMD A8-3850 APU,100.0,,,,,,,2011-06-01,
AMD A8-3870K APU,100.0,,,,,,,2011-12-01,
AMD A8-4500M APU,35.0,,,,,,,2012-05-01,
AMD A8-4555M APU,19.0,,,,,,,2012-10-01,
AMD A8-5500 APU,65.0,,,,,,,2012-06-01,
AMD A8-5500B APU,65.0,,,,,,,2013-03-01,
AMD A8-5545M APU,19.0,,,,,,,2013-08-01,
AMD A8-5550M APU,35.0,,,,,,,2013-07-01,
AMD A8-5557M APU,35.0,,,,,,,2013-07-01,
AMD A8-5600K APU,100.0,,,,,,,2012-10-01,
AMD A8-6410 APU,15.0,,,,,,,2014-06-01,
AMD A8-6500 APU,65.0,,,,,,,2013-08-01,
AMD A8-6500B APU,65.0,,,,,,,2014-04-01,
AMD A8-6500T APU,45.0,,,,,,,2014-03-01,
AMD A8-6600K APU,100.0,,,,,,,2013-06-01,
AMD A8-7050,15.0,,,,,,,2016-01-01,
AMD A8-7100 APU,19.0,,,,,,,2014-08-01,
AMD A8-7200P,35.0,,,,,,,2015-07-01,
AMD A8-7410 APU,25.0,,,,,,,2015-06-01,
AMD A8-7500,65.0,,,,,,,2016-06-01,
AMD A8-7600 APU,65.0,,,,,,,2014-07-01,
AMD A8-7650K,65.0,,,,,,,2015-02-01,
AMD A8-7670K,95.0,,,,,,,2015-09-01,
AMD A8-7680,45.0,,,,,,,2019-01-01,
AMD A8-8600P,15.0,,,,,,,2015-08-01,
AMD A8-8650,65.0,,,,,,,2015-11-01,
AMD A8-9600,65.0,,,,,,,2017-04-01,
AMD A9-9400,10.0,,,,,,,2016-12-01,
AMD A9-9410,25.0,,,,,,,2016-07-01,
AMD A9-9420,15.0,,,,,,,2017-08-01,
AMD A9-9425,15.0,,,,,,,2018-06-01,
AMD Athlon 1640B,45.0,,,,,,,2009-05-01,
AMD Athlon 200GE,35.0,,,,,,,2018-09-01,
AMD Athlon 220GE,35.0,,,,,,,2019-03-01,
AMD Athlon 240GE,35.0,,,,,,,2019-01-01,
AMD Athlon 2650e,15.0,,,,,,,2009-01-01,
AMD Athlon 2800+,89.0,,,,,,,2009-03-01,
AMD Athlon 2850e,22.0,,,,,,,2009-11-01,
AMD Athlon 3000G,35.0,,,,,,,2019-11-01,
AMD Athlon 300GE,35.0,,,,,,,2019-12-01,
AMD Athlon 300U,15.0,,,,,,,2019-07-01,
AMD Athlon 320GE,35.0,,,,,,,2021-09-01,
AMD Athlon 5000 Dual-Core,65.0,,,,,,,2009-10-01,
AMD Athlon 5150 APU,25.0,,,,,,,2014-04-01,
AMD Athlon 5200 Dual-Core,75.0,,,,,,,2010-12-01,
AMD Athlon 5350 APU,25.0,,,,,,,2014-03-01,
AMD Athlon 5370 APU,25.0,,,,,,,2016-04-01,
AMD Athlon 64 2000+,8.0,,,,,,,2013-11-01,
AMD Athlon 64 2600+,15.0,,,,,,,2013-11-01,
AMD Athlon 64 2800+,89.0,,,,,,,2009-01-01,
AMD Athlon 64 3000+,89.0,,,,,,,2008-12-01,
AMD Athlon 64 3100+,89.0,,,,,,,2015-01-01,
AMD Athlon 64 3200+,62.0,,,,,,,2008-12-01,
AMD Athlon 64 3400+,89.0,,,,,,,2009-01-01,
AMD Athlon 64 3500+,45.0,,,,,,,2008-12-01,
AMD Athlon 64 3700+,89.0,,,,,,,2008-12-01,
AMD Athlon 64 3800+,45.0,,,,,,,2009-01-01,
AMD Athlon 64 4000+,62.0,,,,,,,2008-12-01,
AMD Athlon 64 FX-55,104.0,,,,,,,2009-02-01,
AMD Athlon 64 FX-57,104.0,,,,,,,2009-03-01,
AMD Athlon 64 FX-60 Dual Core,110.0,,,,,,,2009-02-01,
AMD Athlon 64 FX-62 Dual Core,125.0,,,,,,,2009-02-01,
AMD Athlon 64 FX-74,125.0,,,,,,,2009-03-01,
AMD Athlon 64 X2 3800+,89.0,,,,,,,2010-05-01,
AMD Athlon 64 X2 Dual Core 3400+,89.0,,,,,,,2010-10-01,
